title,name,dataset_url,pdf,csv,xml,html
"Proizvodnja električne energije po vrstah elektrarn (GWh), Slovenija, letno",sursh029s,https://podatki.gov.si/data/dataset/sursh029s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H029S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8167|https://www.stat.si/doc/px/pxwin.rar
"Cene električne energije (EUR/kWh), Slovenija, četrtletno",sursh032s,https://podatki.gov.si/data/dataset/sursh032s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H032S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Trdna, tekoča in plinasta goriva, Slovenija, mesečno",surs1818001s,https://podatki.gov.si/data/dataset/surs1818001s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1818001S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8261|https://www.stat.si/doc/px/pxwin.rar
"Primerjava cen za zemeljski plin in električno energijo za izbrane porabnike, Slovenija in EU, polletno",surs1817550s,https://podatki.gov.si/data/dataset/surs1817550s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817550S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Cene za zemeljski plin za negospodinjske odjemalce, Slovenija, polletno",surs1817535s,https://podatki.gov.si/data/dataset/surs1817535s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817535S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Register udeležencev na veleprodajnem energetskem trgu, ki sklepajo posle, o katerih je treba poročati ACER",register-udelezencev-na-veleprodajnem-energetskem-trgu-ki-sklepajo-posle-o-katerih-je-treba-porocati,https://podatki.gov.si/data/dataset/register-udelezencev-na-veleprodajnem-energetskem-trgu-ki-sklepajo-posle-o-katerih-je-treba-porocati,,,https://www.acer-remit.eu/portal/export-xml-public-eu-register,https://www.acer-remit.eu/portal/european-register|https://www.agen-rs.si/
"Cene električne energije za negospodinjske odjemalce (EUR/kWh), Slovenija, letno",surs1817570s,https://podatki.gov.si/data/dataset/surs1817570s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817570S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Cene zemeljskega plina (EUR/kWh), Slovenija, četrtletno",sursh033s,https://podatki.gov.si/data/dataset/sursh033s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H033S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Cene električne energije za gospodinjske odjemalce (EUR/kWh), Slovenija, četrtletno",surs1817515s,https://podatki.gov.si/data/dataset/surs1817515s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817515S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Cene za zemeljski plin za gospodinjske odjemalce, Slovenija, polletno",surs1817525s,https://podatki.gov.si/data/dataset/surs1817525s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817525S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Električna energija (GWh), Slovenija, mesečno",surs1817601s,https://podatki.gov.si/data/dataset/surs1817601s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817601S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8261|https://www.stat.si/doc/px/pxwin.rar
"Cene energentov, Slovenija, četrtletno",sursh028s,https://podatki.gov.si/data/dataset/sursh028s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H028S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Cene za zemeljski plin za gospodinjske odjemalce, Slovenija, četrtletno",surs1817505s,https://podatki.gov.si/data/dataset/surs1817505s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817505S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Poraba energije in goriv v gospodinjstvih (TJ) po energetskih virih, Slovenija, letno",sursh031s,https://podatki.gov.si/data/dataset/sursh031s,,,,"https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H031S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8167, 8257|https://www.stat.si/doc/px/pxwin.rar"
"Cene električne energije za negospodinjske odjemalce (EUR/kWh), Slovenija, polletno",surs1817545s,https://podatki.gov.si/data/dataset/surs1817545s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817545S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Cene električne energije za gospodinjske odjemalce (EUR/kWh), Slovenija, letno",surs1817565s,https://podatki.gov.si/data/dataset/surs1817565s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817565S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8130|https://www.stat.si/doc/px/pxwin.rar
"Energija za ogrevanje stanovanj in sanitarne vode po načinu ogrevanja (%), gospodinjstva, Slovenija, letno",surs1815410s,https://podatki.gov.si/data/dataset/surs1815410s,,,,"https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1815410S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8167, 8257|https://www.stat.si/doc/px/pxwin.rar"
"Energetska bilanca (TJ), Slovenija, letno",surs1817903s,https://podatki.gov.si/data/dataset/surs1817903s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817903S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8167|https://www.stat.si/doc/px/pxwin.rar
"Proizvodnja nuklearne toplote, Slovenija, 2004M01 - 2025M12",surs1817605s,https://podatki.gov.si/data/dataset/surs1817605s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817605S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8261|https://www.stat.si/doc/px/pxwin.rar
"Poraba energentov po namenih rabe, v izbranih proizvodnjih dejavnostih (SKD 2008), v TJ, Slovenija, letno",surs1817808s,https://podatki.gov.si/data/dataset/surs1817808s,,,,"https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817808S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8167, 11549|https://www.stat.si/doc/px/pxwin.rar"
"Maloprodajna cena toplotne energije za izbrano porabniško skupino v gospodinjstvih (EUR/MWh), Slovenija, 2004M01 - 2017M12",surs1817507s,https://podatki.gov.si/data/dataset/surs1817507s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817507S.PX|https://www.stat.si/doc/px/pxwin.rar
"Poraba električne energije (kWh) v proizvodnih in storitvenih dejavnostih (SKD 2008), občine, Slovenija, mesečno",surs1817608s,https://podatki.gov.si/data/dataset/surs1817608s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817608S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8261|https://www.stat.si/doc/px/pxwin.rar
"Električna energija (GWh), Slovenija, letno",surs1817602s,https://podatki.gov.si/data/dataset/surs1817602s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817602S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8167|https://www.stat.si/doc/px/pxwin.rar
"Končna poraba energije po namenu in vrsti energetskega vira (TJ), gospodinjstva, Slovenija, letno",surs1815406s,https://podatki.gov.si/data/dataset/surs1815406s,,,,"https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1815406S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8167, 8257|https://www.stat.si/doc/px/pxwin.rar"
"Poraba obnovljivih virov energije in odpadkov (TJ), Slovenija, letno",surs1822303s,https://podatki.gov.si/data/dataset/surs1822303s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1822303S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8167|https://www.stat.si/doc/px/pxwin.rar
"Proizvodnja in dejanska moč v elektrarnah - glavna dejavnost, samoproizvajalci in male zasebne hidroelektrare, Slovenija, letno",surs1817604s,https://podatki.gov.si/data/dataset/surs1817604s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817604S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8167|https://www.stat.si/doc/px/pxwin.rar
"Cene naftnih proizvodov [EUR/l], Slovenija, 2004M01 - 2014M06",surs1817506s,https://podatki.gov.si/data/dataset/surs1817506s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1817506S.PX|https://www.stat.si/doc/px/pxwin.rar
