title,name,dataset_url,pdf,csv,xml,html
"Povprečne mesečne plače (EUR) po skupinah poklicev (SKP-08) in spolu, Slovenija, 2011 - 2022",surs0711335s,https://podatki.gov.si/data/dataset/surs0711335s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0711335S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8153|https://www.stat.si/doc/px/pxwin.rar
Proračun Republike Slovenije,proracun-republike-slovenije,https://podatki.gov.si/data/dataset/proracun-republike-slovenije,,https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/ed1d98c5-773c-4b13-a4ee-6d13ffe0911c/download/reb2014pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/a3c26c60-dee9-4aa6-8d35-f242817b6273/download/reb2014spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/86852836-6e09-4b64-bdce-2ed9cbffbbb4/download/reb2015pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/e95f9f16-b564-4c4f-91dd-223e613f9da1/download/reb2015spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/d4a5921f-772e-44f4-9b83-8c443a6f1e68/download/sp2016pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/bc01ce5d-9df3-4d47-bac5-0e4c5d9759a4/download/sp2016spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/e4cde0ee-8c95-4707-8280-48b9ab12439a/download/infografikaproracun2017.pdf|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/cde3740d-ea1c-4067-aeab-fd0865bc5c28/download/ssp2017pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/60303c44-8fc3-419e-ab03-a60d7ce663b8/download/ssp2017spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/b6d57a37-5594-4c9d-af07-3078ec1a33c5/download/infografikaproracun2018.pdf|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/eed45227-0b56-4048-a911-0cf5726dc715/download/ssp2018pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/4dba5bc7-0a13-48a2-87d2-9d9713b09a66/download/ssp2018spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/06b1dcf4-c996-48c5-897a-b5841b82a504/download/infografikaproracun2019.pdf|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/51ac6a8d-8844-4a67-adc8-c2ef7bb10e07/download/reb2019pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/fb5e7698-a073-4e3c-b636-b7bde185e04e/download/reb2019spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/4a31d729-7e74-444e-a396-880badf98516/download/ssp2021nrp.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/e1d8d569-0d50-4cb6-a6c0-65d5d450d908/download/ssp2021pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/facf649e-619a-4381-abda-5515d1c935df/download/ssp2021spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/d31ed20b-7154-4fcf-b1a4-8efacb895660/download/reb2020nrp.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/d3281718-9b60-4530-9b77-84db3e524a56/download/reb2020pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/39e5fb01-0093-4d46-90a3-38680199f183/download/reb2020spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/c2bb7dba-7501-49a5-9d89-18eb249b6c21/download/ssp2022nrp.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/feede756-710a-43fe-8642-bcd1eff3c1b9/download/ssp2022pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/13220e68-b20e-4818-991a-4212bc8adac6/download/ssp2022spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/830b6bda-3862-4773-b365-f2470a685844/download/sp2023nrp.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/1131f555-ec37-4197-a5fc-fc018368747d/download/sp2023pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/99b8f540-b879-4b61-8fb2-d822cdbb6b41/download/sp2023spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/7950a4fc-f557-4881-8a49-74932b34b9a5/download/reb2022nrp.xlsx|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/fadd0b7c-4c1f-492d-a79b-a4e06c1e0a7f/download/reb2022pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/a27cb609-8a28-4540-8ff7-d2ea968e460b/download/reb2022spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/7341f91f-9dc7-41a7-917f-00c065507d15/download/ssp2024nrp.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/b2ea89dc-74f4-477d-a0c4-10c80fbdbe52/download/ssp2024pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/4f418938-6081-4869-8998-0b4d6e39057a/download/ssp2024spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/fa753630-e55e-453d-b11a-9d34512bd816/download/ssp2025nrp.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/da6d25ee-9431-440e-a515-27299e25195f/download/ssp2025pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/cb0f2a14-6b67-4271-ba34-68a91d457d58/download/ssp2025spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/82074499-2a96-4632-bf16-1d863f4576a6/download/sp2026nrp.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/e1544c20-0195-479e-97c2-1edddf8e7852/download/sp2026pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/5fdbeb68-46e8-4280-87b0-9fa5b7c2cabb/download/sp2026spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/b7b80d67-12ab-4254-8b11-26cb2c51f0e0/download/ssp2026nrp.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/1ea6ddbe-419e-4d8d-947a-5a483b3cea5d/download/ssp2026pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/7cceb3e5-0bfa-4c37-bed1-1c600544b8ff/download/ssp2026spl.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/47a29d9f-ab26-4381-9bbb-6c7c448a10a4/download/sp2027nrp.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/2a35ce14-ab4d-458d-b100-0cdab19b1cc7/download/sp2027pos.csv|https://podatki.gov.si/dataset/8e94baf9-ceb4-4020-919d-6e79cb4d2d4b/resource/bd74060b-4407-475f-bb1d-7eaf8f8d4787/download/sp2027spl.csv,,https://www.gov.si/drzavni-organi/ministrstva/ministrstvo-za-finance/|https://www.gov.si/teme/sprejeti-proracun/|https://www.gov.si/teme/sprejeti-proracun/|http://mf.arhiv-spletisc.gov.si/si/delovna_podrocja/proracun/sprejeti_proracun/2014/rebalans_proracuna_republike_slovenije_za_leto_2014/index.html|http://mf.arhiv-spletisc.gov.si/si/delovna_podrocja/proracun/sprejeti_proracun/2015/rebalans_proracuna_republike_slovenije_za_leto_2015/index.html|http://mf.arhiv-spletisc.gov.si/si/delovna_podrocja/proracun/sprejeti_proracun/2016/sprejeti_proracun_republike_slovenije_za_leto_2016/index.html|http://mf.arhiv-spletisc.gov.si/si/delovna_podrocja/proracun/sprejeti_proracun/spremembe_proracuna_rs_za_leto_2017/index.html|http://mf.arhiv-spletisc.gov.si/si/delovna_podrocja/proracun/sprejeti_proracun/spremembe_proracuna_republike_slovenije_za_leto_2018/index.html|https://www.gov.si/teme/sprejeti-proracun/|https://www.gov.si/teme/sprejeti-proracun/|https://www.gov.si/teme/sprejeti-proracun/|https://www.gov.si/teme/sprejeti-proracun/|https://www.gov.si/teme/sprejeti-proracun/|https://www.gov.si/teme/sprejeti-proracun/|https://www.gov.si/teme/sprejeti-proracun/|https://www.gov.si/teme/sprejeti-proracun/|https://www.gov.si/teme/sprejeti-proracun/
"Povprečne letne in mesečne temperature zraka [°C] po meteoroloških postajah, Slovenija, 1981 - 2014",surs0156101s,https://podatki.gov.si/data/dataset/surs0156101s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0156101S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8228|https://www.stat.si/doc/px/pxwin.rar
Dohodnina,dohodnina,https://podatki.gov.si/data/dataset/dohodnina,,https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/7fc61bab-5924-4e56-8bb5-94a99c8df82c/download/dohodnina2011podavcnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/84c582ce-4b0c-4378-a982-62ce4d948e67/download/dohodnina2011poolajsavah.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/6ad7143d-4794-463d-aa8c-96e607f20e5c/download/dohodnina2012podohodkovnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/af4276b5-252b-4681-b175-91d313b57921/download/dohodnina2011povirih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/69e5ed41-67e1-4090-a81c-afb5f7ba0c3a/download/dohodnina2011podohodkovnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/a32a2208-c54b-4ab4-8580-4b2d23abfd84/download/dohodnina2012podavcnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/05f04c12-d9d3-4aa2-9f1d-7736780dbf2e/download/dohodnina2012poolajsavah.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/8619f8db-3911-42b2-a1a3-97ddb9c40bd8/download/dohodnina2012povirih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/be250f7e-f866-4660-ae3b-fec704dfaa1a/download/dohodnina2013podavcnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/90b1a316-330d-476e-b744-0f988b149413/download/dohodnina2013podohodkovnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/92a2ebad-5fe6-4b25-bfef-64a6f259448b/download/dohodnina2013poolajsavah.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/3b3cc422-7dfe-4f37-8506-69adf557f95f/download/dohodnina2013povirih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/5e75d927-3825-4ae9-8d5c-d45ef0880734/download/dohodnina2014podavcnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/71a745c3-1056-470a-85a4-7a9ddeba0c0b/download/dohodnina2014poolajsavah.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/38bd59fb-5053-4fc4-8537-ce8d84a49312/download/dohodnina2014podohodkovnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/47f9dccb-ead3-437a-86af-41551c5a942f/download/dohodnina2014povirih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/5a0e6ec9-178f-4a49-a580-f8544c3179ee/download/dohodnina2015podavcnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/cf6c8159-117a-44ae-891b-9e4b07a545e2/download/dohodnina2015podohodkovnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/e28e2164-df74-4a8d-b7d8-536bdf13c093/download/dohodnina2015poolajsavah.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/eb5d3d57-bc18-42cd-9b97-3cc2c343e0b8/download/dohodnina2015povirih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/2aeb6f79-c52e-4058-8a2b-8a8872f907a0/download/dohodnina2016podavnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/70680db5-01d1-4422-b4a9-0aa775b61606/download/dohodnina2016podohodkovnihrazredih.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/101d0e91-ada6-46a8-8695-891d7255c266/download/dohodnina2016poolajavah.csv|https://podatki.gov.si/dataset/8e8eba2d-0ea5-4f95-a004-98d2c8ea97ae/resource/5d1c0654-6c7c-4509-a206-8d8707a54872/download/dohodnina2016povirih.csv,,http://www.fu.gov.si/
Seznam davčnih zavezancev,seznam-davcnih-zavezancev,https://podatki.gov.si/data/dataset/seznam-davcnih-zavezancev,,,,http://www.fu.gov.si/|https://www.fu.gov.si/e_storitve/seznami_davcnih_zavezancev/
"Povprečne mesečne plače (EUR) po statističnih regijah prebivališča, starostnih skupinah in spolu, Slovenija, 2007 - 2022",surs0711322s,https://podatki.gov.si/data/dataset/surs0711322s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0711322S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8153|https://www.stat.si/doc/px/pxwin.rar
"Povprečne mesečne plače pri pravnih osebah po občinah delovnega mesta, Slovenija, 2005 - 2023",surs0772615s,https://podatki.gov.si/data/dataset/surs0772615s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0772615S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8212|https://www.stat.si/doc/px/pxwin.rar
"Temeljna obrestna mera (TOM), Slovenija, mesečno",sursh287s,https://podatki.gov.si/data/dataset/sursh287s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H287S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7800|https://www.stat.si/doc/px/pxwin.rar
"Izdatki za zdravstvo (% od BDP), Slovenija, letno",sursh152s,https://podatki.gov.si/data/dataset/sursh152s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H152S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8124|https://www.stat.si/doc/px/pxwin.rar
"Porazdelitev povprečne mesečne bruto plače (EUR) po plačnih razredih širine 50 EUR (%), Slovenija, 2000 - 2022",surs0782541s,https://podatki.gov.si/data/dataset/surs0782541s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0782541S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8153|https://www.stat.si/doc/px/pxwin.rar
