title,name,dataset_url,pdf,csv,xml,html
Poslovni register Slovenije,poslovni-register-slovenije,https://podatki.gov.si/data/dataset/poslovni-register-slovenije,,https://podatki.gov.si/dataset/9ee1a9aa-c224-4995-b2ad-3760d7af0748/resource/beb70929-3d0d-41c6-9af2-25d525d906d3/download/opsiprs.csv,https://podatki.gov.si/dataset/9ee1a9aa-c224-4995-b2ad-3760d7af0748/resource/f6b5fb2a-bbba-43f9-b8b2-9997600dc1e3/download/atributimr20.xml,https://www.ajpes.si/|http://www.ajpes.si/registri/poslovni_register/splosno#
"Indeksi cen stanovanjskih nepremičnin po vrstah stanovanjskih nepremičnin, Slovenija, letno",surs0419005s,https://podatki.gov.si/data/dataset/surs0419005s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0419005S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8168|https://www.stat.si/doc/px/pxwin.rar
"Indeksi cen industrijskih proizvodov pri proizvajalcih za prodajo na domačem trgu, Slovenija, mesečno",sursh282s,https://podatki.gov.si/data/dataset/sursh282s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H282S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7797|https://www.stat.si/doc/px/pxwin.rar
"Proizvodnja in prodaja industrijskih proizvodov in storitev po Nomenklaturi industrijskih proizvodov (NIP 2019), Slovenija, 2019",surs1706038s,https://podatki.gov.si/data/dataset/surs1706038s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1706038S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8233|https://www.stat.si/doc/px/pxwin.rar
"Največji izvozniki in uvozniki glede na področje dejavnosti in vrednost njihove blagovne menjave (v 1000 EUR), Slovenija, letno",surs2430102s,https://podatki.gov.si/data/dataset/surs2430102s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2430102S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8287|https://www.stat.si/doc/px/pxwin.rar
"Indeksi cen življenjskih potrebščin po klasifikaciji ECOICOP ver. 1, Slovenija, 2000M01 - 2025M12",surs0400600s,https://podatki.gov.si/data/dataset/surs0400600s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0400600S.PX|https://www.stat.si/StatWeb/File/DocSysFile/14648|https://www.stat.si/doc/px/pxwin.rar
"Izvoz in uvoz po državah, Slovenija, letno (kumulativni podatki)",surs2490004s,https://podatki.gov.si/data/dataset/surs2490004s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2490004S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8287|https://www.stat.si/doc/px/pxwin.rar
Evidenca nepremičnin Občine Tržič za prodajo ali najem,evidenca-nepremicnin-za-prodajo-ali-najem,https://podatki.gov.si/data/dataset/evidenca-nepremicnin-za-prodajo-ali-najem,,,https://www.geoprostor.net/data/opsi/trzic?format=xml|http://www.geoprostor.net/data/opsi/trzic?format=xml,http://www.trzic.si/za-obcane/turizem-in-razvoj/pametna-skupnost/odprti-podatki.html
"Izvoz, uvoz, trgovinska bilanca in pokritost uvoza z izvozom, Slovenija, mesečno",surs2490001s,https://podatki.gov.si/data/dataset/surs2490001s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2490001S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8287|https://www.stat.si/doc/px/pxwin.rar
"Indeks stroškov gradbenega materiala, Slovenija, mesečno",surs0457204s,https://podatki.gov.si/data/dataset/surs0457204s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0457204S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7797|https://www.stat.si/doc/px/pxwin.rar
Ponudniki gostinskih storitev v občini Sevnica,ponudniki-gostinskih-storitev-v-obcini-sevnica,https://podatki.gov.si/data/dataset/ponudniki-gostinskih-storitev-v-obcini-sevnica,,https://podatki.gov.si/dataset/f60a6531-a499-4155-a382-312cc8752b91/resource/0abeaf16-0741-4a62-9149-3b14f6d8deb2/download/ponudnikigostinskihstoritevvobinisevnica.csv,,https://www.visit-sevnica.com/si/kulinarika-ponudba.html|https://www.google.com/maps/d/edit?mid=129H7ap2cF_gvqHH36oCxuLPLEH-eeNHh&usp=sharing
