title,name,dataset_url,pdf,csv,xml,html
Register nepremične kulturne dediščine,register-nepremicne-kulturne-dediscine,https://podatki.gov.si/data/dataset/register-nepremicne-kulturne-dediscine,,https://podatki.gov.si/dataset/6b5bf6d9-d3bd-4231-95ac-3863b6d70c56/resource/24340845-7dfa-48fa-ab7e-4d4e18ec10f9/download/rnpd.csv,,https://www.gov.si/teme/register-kulturne-dediscine/|https://geohub.gov.si/ghapp/iskd|https://geohub.gov.si/ghapp/giskd
Izbor iz registra nepremične kulturne dediščine,izbor-iz-registra-nepremicne-kulturne-dediscine,https://podatki.gov.si/data/dataset/izbor-iz-registra-nepremicne-kulturne-dediscine,,https://podatki.gov.si/dataset/b5b26d47-70f6-419c-a21a-78ff92bfce38/resource/5dab6737-dd27-44a3-91d5-a7f6c9856fe7/download/mkrkd2018izbranivnosi.csv,,https://www.gov.si/teme/register-kulturne-dediscine/
"Število novih doktorjev in doktoric znanosti, povprečna starost ob doktoriranju in povprečen čas za dokončanje študija po področju znanosti doktorata ter spolu, Slovenija, večletno",surs2367004s,https://podatki.gov.si/data/dataset/surs2367004s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2367004S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8180|https://www.stat.si/doc/px/pxwin.rar
Razvid muzejev,razvid-muzejev,https://podatki.gov.si/data/dataset/razvid-muzejev,,https://podatki.gov.si/dataset/d2553864-579e-4793-9d57-bdbd90977881/resource/24037147-aa36-4cc6-8cf9-34a2fb2c1b61/download/izvozmuzejev15120261.csv,,https://remk.ekultura.gov.si/razvid/muzeji
Evidenca javnih zavodov na področju kulture,evidenca-javnih-zavodov-s-podrocja-kulture,https://podatki.gov.si/data/dataset/evidenca-javnih-zavodov-s-podrocja-kulture,,https://podatki.gov.si/dataset/5e75c67c-2abe-4714-82e8-fe956170e579/resource/79a5725f-f706-48b9-b6dc-3cfd699272d1/download/seznamjavnihzavodovnapodrojukulture.csv,,https://www.gov.si/zbirke/storitve/vpis-v-evidenco-javnih-zavodov-na-podrocju-kulture/|https://www.gov.si/drzavni-organi/ministrstva/ministrstvo-za-kulturo/
POHODNIŠKE POTI OBČINA GROSUPLJE,pohodniske-poti-obcina-grosuplje,https://podatki.gov.si/data/dataset/pohodniske-poti-obcina-grosuplje,,https://podatki.gov.si/dataset/02b66289-3956-4f1a-ba8a-482bbe6afb27/resource/9fce2a30-21a9-49f9-a76a-fa8c4a65f46f/download/pohodniskepotiobcinagrosuplje.csv,,https://grosuplje.si/|https://visitgrosuplje.si/
Vrtci in osnovne šole v Mestni občini Koper,vrtci_osnovne_sole_v_mestni_obcini_koper,https://podatki.gov.si/data/dataset/vrtci_osnovne_sole_v_mestni_obcini_koper,,https://podatki.gov.si/dataset/11568165-a7c6-4afc-a4da-7af4db9b3028/resource/435837f7-cee5-4a7e-812c-576e4b513805/download/vrtci.csv|https://podatki.gov.si/dataset/11568165-a7c6-4afc-a4da-7af4db9b3028/resource/5687b990-8f1f-43be-8899-300980099554/download/osnovnesole.csv,,https://www.koper.si/obcina/obcinska-uprava/urad-za-druzbene-dejavnosti/predsolska-vzgoja/|https://www.koper.si/obcina/obcinska-uprava/urad-za-druzbene-dejavnosti/izobrazevanje/
Seznam osnovnih šol v Mestni občini Novo mesto,seznam-osnovnih-sol-v-mestni-obcini-novo-mesto,https://podatki.gov.si/data/dataset/seznam-osnovnih-sol-v-mestni-obcini-novo-mesto,,https://podatki.gov.si/dataset/c59d8b8d-7110-44b8-be9c-eda623c00ae1/resource/991f000a-23ea-494a-a8f0-c1d500d898b1/download/novomestoopsiosnovnesole.csv,,https://novomesto.si/|https://www.gov.si/podrocja/izobrazevanje-znanost-in-sport/osnovnosolsko-izobrazevanje/
POHODNE POTI PO OBČINI IVANČNA GORICA,pohodne-poti-po-obcini-ivancna-gorica,https://podatki.gov.si/data/dataset/pohodne-poti-po-obcini-ivancna-gorica,,https://podatki.gov.si/dataset/647621dd-fa57-4864-ac2b-d957180ab078/resource/28cced2a-b162-40b4-94cd-23c83e1480a9/download/pohodnepoti.csv|https://podatki.gov.si/dataset/647621dd-fa57-4864-ac2b-d957180ab078/resource/a7bb728c-aa03-4288-a56c-709c197d3680/download/pohodnepotinavodila.csv,,https://prijetnodomace.si/wp-content/uploads/2021/03/POHODNISKA-KARTA-PRIJETNO-DOMACE_zadnja-verzija.pdf
NAMESTITVENE ZMOGLJIVOSTI OBČINA IVANČNA GORICA,namestitvene-zmogljivosti-obcina-ivancna-gorica,https://podatki.gov.si/data/dataset/namestitvene-zmogljivosti-obcina-ivancna-gorica,,https://podatki.gov.si/dataset/f45de483-21d3-4350-b694-e4de0b169882/resource/e1d8ffe6-c415-4c3a-a8ca-6c400ba2b2e3/download/namestitvenezmogljivosti.csv|https://podatki.gov.si/dataset/f45de483-21d3-4350-b694-e4de0b169882/resource/d5bb53c8-9087-47a7-bba8-0b5b617bf05c/download/namestitvenezmogljivostinavodila.csv,,https://prijetnodomace.si/nastanitve/
Občina Rogaška Slatina - pohodniške poti,obcina-rogaska-slatina-pohodniske-poti,https://podatki.gov.si/data/dataset/obcina-rogaska-slatina-pohodniske-poti,,https://www.rogaska-slatina.si/media/2723/8-pohodniske-poti.csv,,https://www.rogaska-slatina.si/si/
Pohodniške poti v Občini Škofljica,pohodniske-poti-v-obcini-skofljica,https://podatki.gov.si/data/dataset/pohodniske-poti-v-obcini-skofljica,,https://podatki.gov.si/dataset/6b2556dc-d95d-4941-9f18-c60c478a60fc/resource/925b7f5e-9d83-4442-86ec-45865aa01df1/download/pohodniskepotiobcinaskofljica.csv,,https://www.skofljica.si/
Register kulturne dediščine v Občini Žalec,register-kulturne-dediscine-v-obcini-zalec3,https://podatki.gov.si/data/dataset/register-kulturne-dediscine-v-obcini-zalec3,,https://podatki.gov.si/dataset/d46e7e60-82e7-42df-b20a-51bdd84f36be/resource/adf6f0b5-949e-4581-8e8e-fa5bd63fc0e6/download/registerkulturnedediscine.csv,,
Športna društva v občini Vodice,sportna-drustva,https://podatki.gov.si/data/dataset/sportna-drustva,,https://podatki.gov.si/dataset/d71a8a35-ae97-42c3-a087-1c9d22b841fa/resource/58164cc9-a6d2-4431-8413-06a606869dbc/download/portnadrutva.csv|https://podatki.gov.si/dataset/d71a8a35-ae97-42c3-a087-1c9d22b841fa/resource/32de83c6-d11f-4fe3-8e5b-e29145048a94/download/strukturnimetapodatkiportnadrutva.csv,,https://vodice.si/objave/276
Kulturna društva Občine Ig,kulturna-drustva-obcine-ig,https://podatki.gov.si/data/dataset/kulturna-drustva-obcine-ig,,https://podatki.gov.si/dataset/5308bff4-257c-4b38-b0f0-bca8d108b2e9/resource/4d4025f7-6ead-496d-af05-599edfd73d25/download/kulturnadrustva.csv,,https://www.obcina-ig.si/|https://www.obcina-ig.si/imenik/drustva/
Kulturna in umetniška društva v mestni občini Murska Sobota,kulturna-in-umetniska-drustva-v-mestni-obcini-murska-sobota,https://podatki.gov.si/data/dataset/kulturna-in-umetniska-drustva-v-mestni-obcini-murska-sobota,,https://podatki.gov.si/dataset/c9e7838d-7b11-4396-9249-da4d41c195da/resource/9ebdc10a-9681-4fa8-8857-a39f55d2ec73/download/kulturnainumetnikadrutvaobinamurskasobota.csv,,https://www.murska-sobota.si/|https://podatki.gov.si/dataset/centralni-register-drustev
Seznam osnovnih šol v Mestni občini Velenje,seznam-osnovnih-sol-v-mestni-obcini-velenje,https://podatki.gov.si/data/dataset/seznam-osnovnih-sol-v-mestni-obcini-velenje,,https://podatki.gov.si/dataset/54c8fb55-c3d6-4f20-b53d-cdbdef05f630/resource/fa13c9a2-7a4f-4e2b-ab8c-819fc95e77b7/download/velenjeopsiosnovnesole.csv,,https://www.velenje.si/
KULTURNA DRUŠTVA V OBČINI ŠENTJUR,kulturna-drustva-obcina-sentjur,https://podatki.gov.si/data/dataset/kulturna-drustva-obcina-sentjur,,https://podatki.gov.si/dataset/07354b33-f78d-47ab-b4a9-f7fb3ef9957e/resource/6a068615-6e1d-4aa6-9670-6761543873c6/download/kulturnadrustvaobcinasentjur.csv|https://podatki.gov.si/dataset/07354b33-f78d-47ab-b4a9-f7fb3ef9957e/resource/42f65d95-d3fb-45bd-b869-b56540392f2a/download/kulturnadrustvametapodatki.csv,,https://sentjur.si/
Športna in rekreativna društva v mestni občini Murska Sobota,sportna-in-rekreativna-drustva-v-mestni-obcini-murska-sobota,https://podatki.gov.si/data/dataset/sportna-in-rekreativna-drustva-v-mestni-obcini-murska-sobota,,https://podatki.gov.si/dataset/12b17617-c810-4360-bffc-47beef8daf49/resource/3ef1a06b-3272-4971-9147-162f6f2c71a0/download/portnainrekreativnadrutvaobinamurskasobota.csv,,https://www.murska-sobota.si/|https://podatki.gov.si/dataset/centralni-register-drustev
"Dijaki, ki so končali izobraževanje, po področju (KLASIUS_P16) in vrsti izobraževanja ter spolu, Slovenija, letno",surs0953289s,https://podatki.gov.si/data/dataset/surs0953289s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0953289S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9586|https://www.stat.si/doc/px/pxwin.rar
"Število okužb s SARS-CoV-2 v vzgoji in izobraževanju, Slovenija",stevilo-okuzb-s-sars-cov-2-v-vzgoji-in-izobrazevanju-slovenija,https://podatki.gov.si/data/dataset/stevilo-okuzb-s-sars-cov-2-v-vzgoji-in-izobrazevanju-slovenija,,https://podatki.gov.si/dataset/92670859-fae3-4225-adf4-17be511b87d3/resource/e6bce4f3-01cd-4de9-9fc5-7172da14083a/download/ucenci.csv|https://podatki.gov.si/dataset/92670859-fae3-4225-adf4-17be511b87d3/resource/732cbeb2-41d9-4e22-95dd-362d40ea44fc/download/zaposleni.csv|https://podatki.gov.si/dataset/92670859-fae3-4225-adf4-17be511b87d3/resource/b45823ec-5434-4d96-b61f-ef257babc39b/download/oddelki.csv,,
Seznam osnovnih šol v Občini Trbovlje,seznam-osnovnih-sol-v-obcini-trbovlje,https://podatki.gov.si/data/dataset/seznam-osnovnih-sol-v-obcini-trbovlje,,https://podatki.gov.si/dataset/970641c4-a256-49af-a6dc-9114c1331043/resource/00058b3e-00a3-44f4-92b8-3cef50c5fe44/download/trbovljeopsiosnovnesole.csv,,
Občina Makole - pohodniške poti,obcina-makole-pohodniske-poti,https://podatki.gov.si/data/dataset/obcina-makole-pohodniske-poti,,https://podatki.gov.si/dataset/d902d84c-c064-49b5-a3c5-18c38a37b458/resource/cd8d88de-fbc0-4391-9e9e-d2db5e6776a1/download/pohodniskepoti.csv,,https://www.obcina-makole.si/
Kulturni objekti v Občini Kamnik,kulturni-objekti-v-obcini-kamnik,https://podatki.gov.si/data/dataset/kulturni-objekti-v-obcini-kamnik,,https://podatki.gov.si/dataset/ad95a0a3-6ae3-4c00-87ee-597b58cb780e/resource/65bd2dc7-26fd-4a6e-a7a2-d42aa0ca769c/download/kulturniobjekti.csv|https://podatki.gov.si/dataset/ad95a0a3-6ae3-4c00-87ee-597b58cb780e/resource/c037eb69-7c4b-48e4-859c-2ffafb392af5/download/kulturniobjektistrukturnimetapodatki.csv,,https://www.kamnik.si/
Kulturni objekti Občine Ig,kulturni-objekti-obcine-ig,https://podatki.gov.si/data/dataset/kulturni-objekti-obcine-ig,,https://podatki.gov.si/dataset/362baa0a-4961-4e24-9f7c-a1cfaa3f5a2f/resource/9eeab021-00bb-430a-b5e1-4cb2163daa8d/download/kulturniobjektiobcineig.csv,,https://www.obcina-ig.si/|https://www.obcina-ig.si/imenik/drustva/
Kulturne znamenitosti v Občini Škofljica,kulturne-znamenitosti-v-obcini-skofljica,https://podatki.gov.si/data/dataset/kulturne-znamenitosti-v-obcini-skofljica,,https://podatki.gov.si/dataset/83bf7955-256a-4324-8ca1-80cc5f804be8/resource/0993e393-ac87-4c90-8e16-2f693185c8a5/download/kulturneznamenitostiobcinaskofljica.csv,,https://www.skofljica.si/
