title,name,dataset_url,pdf,csv,xml,html
"Odstrel divjadi (število), Slovenija, letno",surs1673150s,https://podatki.gov.si/data/dataset/surs1673150s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1673150S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8220|https://www.stat.si/doc/px/pxwin.rar
"Pridelava grozdja v vinogradih (ha, število trt, t, t/ha, kg/trto), Slovenija, letno",surs1502406s,https://podatki.gov.si/data/dataset/surs1502406s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1502406S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8196|https://www.stat.si/doc/px/pxwin.rar
"Kmetijska gospodarstva, skupni KZU, GVŽ in povprečni GVŽ na ha KZU, po kohezijskih regijah, Slovenija, 2000, 2010, 2020",surs15p0214s,https://podatki.gov.si/data/dataset/surs15p0214s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/15P0214S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8225|https://www.stat.si/doc/px/pxwin.rar
Gastronomske regije Slovenije,gastronomske-regije-slovenije,https://podatki.gov.si/data/dataset/gastronomske-regije-slovenije,,,,http://www.mk.gov.si/
"Pridelava sena s trajnih travinj (ha, t, t/ha), Slovenija, letno",surs1502407s,https://podatki.gov.si/data/dataset/surs1502407s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1502407S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8196|https://www.stat.si/doc/px/pxwin.rar
"Količine in povprečne cene odkupljenih kmetijskih pridelkov, Slovenija, letno",surs1505000s,https://podatki.gov.si/data/dataset/surs1505000s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1505000S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7799|https://www.stat.si/doc/px/pxwin.rar
"Kmetijska gospodarstva po rabi vseh in kmetijskih zemljišč v uporabi, po občinah, Slovenija, 2000, 2010, 2020",surs15p2201s,https://podatki.gov.si/data/dataset/surs15p2201s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/15P2201S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8225|https://www.stat.si/doc/px/pxwin.rar
"Stopnja samooskrbe (%) po vrstah kmetijskih proizvodov, koledarsko leto, Slovenija, letno",sursh205s,https://podatki.gov.si/data/dataset/sursh205s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H205S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9744|https://www.stat.si/doc/px/pxwin.rar
"Povprečni pridelek (t/ha) pomembnejših kmetijskih kultur, po statističnih regijah, Slovenija, letno",surs1502410s,https://podatki.gov.si/data/dataset/surs1502410s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1502410S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8196|https://www.stat.si/doc/px/pxwin.rar
"Število živine po vrstah in kategorijah živali, po občinah, Slovenija, 2000, 2010, 2020",surs15p1201s,https://podatki.gov.si/data/dataset/surs15p1201s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/15P1201S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8225|https://www.stat.si/doc/px/pxwin.rar
"Kmetijska gospodarstva po velikostnih razredih števila goveda, krav, krav molznic in drugih krav, po statističnih regijah, Slovenija, 2000, 2010, 2020",surs15p1102s,https://podatki.gov.si/data/dataset/surs15p1102s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/15P1102S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8225|https://www.stat.si/doc/px/pxwin.rar
Evidenca pridelovalcev in predelovalcev ekoloških in integriranih kmetijskih pridelkov ali živil,evidenca-pridelovalcev-in-predelovalcev-ekoloskih-in-integriranih-kmetijskih-pridelkov-ali-zivil,https://podatki.gov.si/data/dataset/evidenca-pridelovalcev-in-predelovalcev-ekoloskih-in-integriranih-kmetijskih-pridelkov-ali-zivil,,https://podatki.gov.si/dataset/f42e6c27-4a52-41c5-852e-aaa9a796455a/resource/aeedb28d-b675-4211-badf-15e1b8b747a5/download/certifikati.csv,,http://www.mkgp.gov.si/|https://webapl.mkgp.gov.si/bioWeb/informacije.php
"Odkup lesa, Slovenija, mesečno",surs1656401s,https://podatki.gov.si/data/dataset/surs1656401s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1656401S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8205|https://www.stat.si/doc/px/pxwin.rar
"Zakol živine v klavnicah, Slovenija, mesečno",surs1505801s,https://podatki.gov.si/data/dataset/surs1505801s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1505801S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8231|https://www.stat.si/doc/px/pxwin.rar
"Pridelava sadja v intenzivnih sadovnjakih in oljk v intenzivnih oljčnikih (ha, število dreves, t, t/ha), Slovenija, letno",surs1502404s,https://podatki.gov.si/data/dataset/surs1502404s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1502404S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8196|https://www.stat.si/doc/px/pxwin.rar
"Razpoložljiva količina vina za prehrano na prebivalca (l), tržno leto, Slovenija, letno",sursh207s,https://podatki.gov.si/data/dataset/sursh207s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H207S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9744|https://www.stat.si/doc/px/pxwin.rar
"Kazalniki intenzivnosti rabe naravnih virov, Slovenija, 1995 - 2015",surs3269202s,https://podatki.gov.si/data/dataset/surs3269202s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/3269202S.PX|https://www.stat.si/doc/px/pxwin.rar
"Število kmetijskih gospodarstev po tehnikah nanašanja gnoja, gnojevke in gnojnice na kmetijska zemljišča v uporabi, Slovenija, 2016",surs1579830s,https://podatki.gov.si/data/dataset/surs1579830s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1579830S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8225|https://www.stat.si/doc/px/pxwin.rar
"Lesna zaloga in letni prirastek, Slovenija, letno",surs1673110s,https://podatki.gov.si/data/dataset/surs1673110s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1673110S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8220|https://www.stat.si/doc/px/pxwin.rar
"Kmetijska gospodarstva, ki redijo živino, po velikostnih razredih KZU, po kohezijskih regijah, Slovenija, 2000, 2010, 2020",surs15p0213s,https://podatki.gov.si/data/dataset/surs15p0213s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/15P0213S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8225|https://www.stat.si/doc/px/pxwin.rar
"Izvoz in uvoz mleka in mlečnih izdelkov, Slovenija, letno",surs1514505s,https://podatki.gov.si/data/dataset/surs1514505s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1514505S.PX|https://www.stat.si/StatWeb/File/DocSysFile/11897|https://www.stat.si/doc/px/pxwin.rar
"Čebelarstvo, pridelava medu, Slovenija, letno",surs1517306s,https://podatki.gov.si/data/dataset/surs1517306s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1517306S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8232|https://www.stat.si/doc/px/pxwin.rar
"Odkupljeno kravje mleko in proizvodnja mlečnih izdelkov v mlekarnah, Slovenija, mesečno",surs1514501s,https://podatki.gov.si/data/dataset/surs1514501s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1514501S.PX|https://www.stat.si/StatWeb/File/DocSysFile/11895|https://www.stat.si/doc/px/pxwin.rar
"Raba kmetijskih zemljišč, po statističnih regijah, Slovenija, 2000, 2010, 2020",surs15p9101s,https://podatki.gov.si/data/dataset/surs15p9101s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/15P9101S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8225|https://www.stat.si/doc/px/pxwin.rar
"Bilanca proizvodnje in potrošnje mesa (1000 t), koledarsko leto, Slovenija, letno",surs1563501s,https://podatki.gov.si/data/dataset/surs1563501s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1563501S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9744|https://www.stat.si/doc/px/pxwin.rar
"Glave velike živine [GVŽ], po občinah, Slovenija, 2000, 2010, 2020",surs15p9202s,https://podatki.gov.si/data/dataset/surs15p9202s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/15P9202S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8225|https://www.stat.si/doc/px/pxwin.rar
"Kmetijska zemljišča v uporabi z ekološko pridelavo (ha), po rabi kmetijskih zemljišč v uporabi, Slovenija, letno",surs1561902s,https://podatki.gov.si/data/dataset/surs1561902s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1561902S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8142|https://www.stat.si/doc/px/pxwin.rar
