title,name,dataset_url,pdf,csv,xml,html
"Stavbe, za katere so bila izdana gradbena dovoljenja, Slovenija, mesečno",surs1970713s,https://podatki.gov.si/data/dataset/surs1970713s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1970713S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8218|https://www.stat.si/doc/px/pxwin.rar
Varstveni režimi kulturne dediščine (eVrd),varstveni-rezimi-kulturne-dediscine-evrd,https://podatki.gov.si/data/dataset/varstveni-rezimi-kulturne-dediscine-evrd,,,,https://eprostor.gov.si/imps/srv/slv/catalog.search#/metadata/3873f3c0-03d9-4410-b730-4f72bd7c9bff|https://geohub.gov.si/ghapp/giskd/
Seznam izdanih pooblastil za bonitiranje,seznam-izdanih-pooblastil-za-bonitiranje,https://podatki.gov.si/data/dataset/seznam-izdanih-pooblastil-za-bonitiranje,,https://www.e-prostor.gov.si/fileadmin/Podrocja/Parcele_stavbe/Kataster_nepremicnin/Podatki_o_parcelah/Bonitiranje/SEZNAM_IZDANIH_POOBLASTIL_za_bonitiranje_dec2025.csv,,https://www.e-prostor.gov.si/podrocja/parcele-in-stavbe/kataster-nepremicnin/?acitem=1714-2251|https://www.gov.si/drzavni-organi/organi-v-sestavi/geodetska-uprava/
"Število stavb, za katera so bila izdana gradbena dovoljenja, njihova gradbena velikost in stanovanja v njih, glede na vrsto stavbe, statistične regije, Slovenija, mesečno",surs1970712s,https://podatki.gov.si/data/dataset/surs1970712s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1970712S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8218|https://www.stat.si/doc/px/pxwin.rar
"Podatki o kakovosti zunanjega zraka in padavin – PM10, O3, SO2, CO, NOx, VOC, sestava delcev, kakovost padavin, napoved ravni onesnaževal",podatki-o-kakovosti-zunanjega-zraka-in-padavin-pm10-o3-so2-co-nox-voc-sestava-delcev-kakovost-padavi,https://podatki.gov.si/data/dataset/podatki-o-kakovosti-zunanjega-zraka-in-padavin-pm10-o3-so2-co-nox-voc-sestava-delcev-kakovost-padavi,,,http://www.arso.gov.si/xml/zrak/ones_zrak_urni_podatki_zadnji.xml|http://www.arso.gov.si/xml/zrak/ones_zrak_dnevni_podatki_zadnji.xml,http://www.arso.gov.si/zrak/kakovost%20zraka/poro%C4%8Dila%20in%20publikacije/|http://www.arso.gov.si/zrak/kakovost%20zraka/podatki/
"Naseljena stanovanja, prebivalci in gospodinjstva po številu sob, občine, Slovenija, večletno",surs0861106s,https://podatki.gov.si/data/dataset/surs0861106s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0861106S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8211|https://www.stat.si/doc/px/pxwin.rar
Pohodniške poti v občini Vrhnika,pohodniske-poti-v-obcini-vrhnika,https://podatki.gov.si/data/dataset/pohodniske-poti-v-obcini-vrhnika,,https://podatki.gov.si/dataset/bb6cf688-ae34-467b-b0ec-719ebc058b3c/resource/905576c6-268c-4a57-87fe-3122fe25d9ef/download/pohodniskepotivrhnika.csv,,http://www.vrhnika.si/
Lokacije zbiralnikov odpadnega jedilnega olja v občini Sevnica,lokacije-zbiralnikov-odpadnega-jedilnega-olja-v-obcini-sevnica,https://podatki.gov.si/data/dataset/lokacije-zbiralnikov-odpadnega-jedilnega-olja-v-obcini-sevnica,,https://podatki.gov.si/dataset/83c7e79c-eff6-4e99-8de3-c1942ba86188/resource/84f76597-64d8-4e9e-9351-4df81b08aae5/download/lokacijezbiralnikovzaodpadnojedilnooljevobinisevnica.csv,,https://www.google.com/maps/d/edit?mid=1HY0Ve_vDRirvAl71r_H-IPDS-Sj5ObIC&usp=sharing
Lokacije ekoloških otokov v občini Sevnica,lokacije-ekoloskih-otokov-v-obcini-sevnica,https://podatki.gov.si/data/dataset/lokacije-ekoloskih-otokov-v-obcini-sevnica,,https://podatki.gov.si/dataset/6ab6a37a-3f94-4261-b779-ebdac00a0f19/resource/a7b950b1-5748-4dc8-b37a-0bca81bebbf7/download/lokacijeekolokihotokovvobinisevnica.csv,,https://www.komunala-sevnica.si/odpadki|https://www.google.com/maps/d/edit?mid=1XfvoOJcsVuMEadBky3BlIrvrPFg-6jI4&usp=sharing
"Uvoz, izvoz odpadkov (tone) po vrsti odpadkov, Slovenija, letno",surs2706318s,https://podatki.gov.si/data/dataset/surs2706318s,,,,"https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2706318S.PX|https://www.stat.si/StatWeb/File/DocSysFile/11059, 11061, 11063|https://www.stat.si/doc/px/pxwin.rar"
Ekološki otoki v občini Radovljica,ekoloski-otoki-v-obcini-radovljica,https://podatki.gov.si/data/dataset/ekoloski-otoki-v-obcini-radovljica,,https://podatki.gov.si/dataset/c9e045df-33a2-4a99-8713-40883760041a/resource/2fe4a188-7dea-4154-8fa6-17d410473ea4/download/012ob012radovljicaseznamekolokihotokov.csv,,
