title,name,dataset_url,pdf,csv,xml,html
Zanesljivi seznam (o ponudnikih kvalificiranih storitev zaupanja),zanesljivi-seznam-o-ponudnikih-kvalificiranih-storitev-zaupanja,https://podatki.gov.si/data/dataset/zanesljivi-seznam-o-ponudnikih-kvalificiranih-storitev-zaupanja,,,https://ec.europa.eu/information_society/policy/esignature/trusted-list/tl-mp.xml|https://www.tl.gov.si/SI_TL.xml,http://mdp.gov.si
Evidenca nesreč na smučiščih,evidenca-nesrec-na-smuciscih1,https://podatki.gov.si/data/dataset/evidenca-nesrec-na-smuciscih1,,https://podatki.gov.si/dataset/69ef4299-bda9-4e54-ba50-bc04fca5aa59/resource/a7b1dc95-c02f-4b46-b427-ffbc792aa224/download/evidencanesrecnasmuciscihod3.4.2019do5.4.2024.csv|https://podatki.gov.si/dataset/69ef4299-bda9-4e54-ba50-bc04fca5aa59/resource/93e02ec7-4377-4227-b5e9-225d7097b268/download/evidencanesrecnasmuciscih2019csv.csv|https://podatki.gov.si/dataset/69ef4299-bda9-4e54-ba50-bc04fca5aa59/resource/b279cd5b-c3ba-4d9d-82c8-b2d0c41ce58f/download/evidencanesrecnasmuciscih2017.csv,,https://www.gov.si/teme/varnost-na-smuciscih/
"Polnoletni obsojenci (znani storilci) po spolu, kaznivem dejanju in glavni kazenski sankciji (tudi pogojno obsojeni), Slovenija, letno",surs1360301s,https://podatki.gov.si/data/dataset/surs1360301s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1360301S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8274|https://www.stat.si/doc/px/pxwin.rar
"Pravne osebe zoper katere je bil kazenski postopek pri državnem tožilstvu končan po kaznivem dejanju in vložniku ovadbe, Slovenija, letno",surs1373601s,https://podatki.gov.si/data/dataset/surs1373601s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1373601S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8274|https://www.stat.si/doc/px/pxwin.rar
"Polnoletne osebe zoper katere je bil kazenski postopek pri državnem tožilstvu končan po kaznivem dejanju in vrsti odločbe, Slovenija, 2006 - 2012",surs1360191s,https://podatki.gov.si/data/dataset/surs1360191s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1360191S.PX|https://www.stat.si/doc/px/pxwin.rar
Kazniva dejanja od leta 2009 dalje,mnzpkazniva-dejanja-od-leta-2009-dalje,https://podatki.gov.si/data/dataset/mnzpkazniva-dejanja-od-leta-2009-dalje,,,,https://www.policija.si/o-slovenski-policiji/statistika/kriminaliteta/kriminaliteta-statistika-navodila
"Pravne osebe zoper katere je bil kazenski postopek pri državnem tožilstvu končan po kaznivem dejanju in dejavnosti (SKD 2008), Slovenija, letno",surs1373605s,https://podatki.gov.si/data/dataset/surs1373605s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1373605S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8274|https://www.stat.si/doc/px/pxwin.rar
"Aktivnosti za varovanje podatkov, ki so jih posamezniki izvedli na internetu v zadnjih 12 mesecih, po stopnji urbanizacije območja, v katerem ti posamezniki živijo, Slovenija, 2016",surs2978508s,https://podatki.gov.si/data/dataset/surs2978508s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2978508S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8277|https://www.stat.si/doc/px/pxwin.rar
"Polnoletni obsojenci [znani storilci] po spolu, kaznivem dejanju in varnostnem ukrepu, Slovenija, 2006 - 2013",surs1360393s,https://podatki.gov.si/data/dataset/surs1360393s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1360393S.PX|https://www.stat.si/doc/px/pxwin.rar
"Pravne osebe, ki so spoznane za odgovorne po kaznivem dejanju, Slovenija, letno",surs1375601s,https://podatki.gov.si/data/dataset/surs1375601s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1375601S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8274|https://www.stat.si/doc/px/pxwin.rar
"Polnoletni obsojenci [znani storilci] po kaznivem dejanju in trajanju postopka od obtožbe do pravnomočnosti odločbe, Slovenija, 2006 - 2013",surs1360396s,https://podatki.gov.si/data/dataset/surs1360396s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1360396S.PX|https://www.stat.si/doc/px/pxwin.rar
