title,name,dataset_url,pdf,csv,xml,html
"Umrli po dnevu smrti, Slovenija, mesečno",surs05l1018s,https://podatki.gov.si/data/dataset/surs05l1018s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05L1018S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9513|https://www.stat.si/doc/px/pxwin.rar
Seznam praznikov in dela prostih dni v Republiki Sloveniji,seznam-praznikov-in-dela-prostih-dni-v-republiki-sloveniji,https://podatki.gov.si/data/dataset/seznam-praznikov-in-dela-prostih-dni-v-republiki-sloveniji,,https://podatki.gov.si/dataset/ada88e06-14a2-49c4-8748-3311822e3585/resource/eb8b25ea-5c00-4817-a670-26e1023677c6/download/seznampraznikovindelaprostihdni20002030.csv,https://podatki.gov.si/dataset/ada88e06-14a2-49c4-8748-3311822e3585/resource/15819ad5-8a1a-48de-a9a0-240dad8d19eb/download/seznampraznikovindelaprostihdni20002030xml.xml,http://www.vlada.si/o_sloveniji/politicni_sistem/prazniki/|http://www.mju.gov.si/
"Priimki (S-Ž), Slovenija, letno",surs05x1018s,https://podatki.gov.si/data/dataset/surs05x1018s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05X1018S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7803|https://www.stat.si/doc/px/pxwin.rar
"Živorojeni po vrstnem redu rojstva in povprečni starosti matere ob rojstvu otroka po vrstnem redu rojstva, Slovenija, letno",surs05j1014s,https://podatki.gov.si/data/dataset/surs05j1014s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05J1014S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9520|https://www.stat.si/doc/px/pxwin.rar
Arhivska objava javnih prireditev,arhivska-objavljena-javnih-prireditev,https://podatki.gov.si/data/dataset/arhivska-objavljena-javnih-prireditev,,,,http://mnz.arhiv-spletisc.gov.si/si/mnz_za_vas/drustva_ustanove_shodi_prireditve/javni_shodi_in_javne_prireditve/|https://e-uprava.gov.si/aktualno/prireditve-in-shodi.html#eyJmaWx0ZXJzIjp7InR5cGUiOlsiLSJdLCJwZXJpb2RhIjpbIi0iXSwicG9zdGEiOlsiLTEiXSwib2Zmc2V0IjpbIjAiXSwic2VudGluZWxfdHlwZSI6WyJvayJdLCJzZW50aW5lbF9zdGF0dXMiOlsib2siXSwiaXNfYWpheCI6WyIxIl19LCJwYWdlIjpbMl19
"Presežna umrljivost, Slovenija, 2020M01 - 2023M02",surs05l1020s,https://podatki.gov.si/data/dataset/surs05l1020s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05L1020S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9513|https://www.stat.si/doc/px/pxwin.rar
"Prebivalstvo po izbranih starostnih skupinah, indeks staranja in povprečna starost, občine in naselja, Slovenija, popis 2002",surs05w0403s,https://podatki.gov.si/data/dataset/surs05w0403s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05W0403S.PX|https://www.stat.si/doc/px/pxwin.rar
Digitalna vključenost,digitalna-vkljucenost,https://podatki.gov.si/data/dataset/digitalna-vkljucenost,,https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/d90a7e4b-db2f-462a-b4be-4239367585d0/download/ponudnikistznesekvnocitev202206152022071415.06.15.07..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/7d817420-f1f8-446f-93d2-bcf79231cf95/download/ponudnikinacinvrsta202206152022071415.06.15.07..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/1fef8d26-3841-4dcd-a05c-e70cd68e015f/download/upravicenciznesek202206152022071415.06.15.07..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/3fb68895-ab85-4633-be5f-9c715941e466/download/seznamizvajalcevizobrazevanjzaosebestare55letinvec.csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/3b9b6815-25bb-4660-8a77-13bebf74e3f4/download/ponudnikistznesekvnocitev202207152022081415.07.14.08..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/9b08bed8-231e-4a88-8b28-ad353b04d01a/download/ponudnikinacinvrsta202207152022081415.07.14.08..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/87b74b03-fa49-4aa8-b6ae-47f6e467e968/download/upravicenciznesek202207152022081415.07.14.08..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/2bfa76a8-ca86-406e-aa4b-7a55f01ea241/download/ponudnikistznesekvnocitev202208152022091415.08.14.09..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/9eb7322b-7b97-480c-bb8b-6838317e4e5a/download/ponudnikinacinvrsta202208152022091415.08.14.09..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/45ab5247-33cf-4467-8983-30a764d7236c/download/upravicenciznesek202208152022091415.08.14.09..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/633e490b-79e6-4cb0-b4b7-8f58255013f6/download/ponudnikistznesekvnocitev202209152022101415.09.14.10..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/c7fd15c5-7609-47b2-97f0-575b6adeeff2/download/ponudnikinacinvrsta202209152022101415.09.14.10..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/f372cfe0-1066-4320-bfd5-ce2257105ac9/download/upravicenciznesek202209152022101415.09.14.10..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/625cb444-45a4-4d4f-b062-0cc0c7fa0b6a/download/ponudnikistznesekvnocitev202210152022111415.10.14.11..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/c0465801-c056-41a2-90e1-d6695977a3b9/download/ponudnikinacinvrsta202210152022111415.10.14.11..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/acf55aed-ec48-45ba-b17a-620ec26d66b0/download/upravicenciznesek202210152022111415.10.14.11..csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/8bdc6141-b0cc-4676-a652-37ddcff37ad6/download/ponudnikistznesekvnocitev202211152022113015.11.30.11.csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/3fabdc68-5c7e-4853-8077-97972eb16eed/download/ponudnikinacinvrsta202211152022113015.11.30.11.csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/9f20edda-531c-4269-9a24-5c6a623581ee/download/upravicenciznesek202211152022113015.11.30.11.csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/40ac9474-7f38-4d03-af59-fdfbfeef49b1/download/ponudnikistznesek20221201202212311.12.31.12.csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/58f63b3c-c3ba-4174-951c-474919d20a91/download/ponudnikinacinvrsta20221201202212311.12.31.12.csv|https://podatki.gov.si/dataset/80a7e1ea-a6d7-4588-b085-7c0976b2ba3b/resource/7bec8c31-7f5d-4825-b133-0a78c5322a94/download/upravicenciznesek20221201202212311.12.31.12.csv,,https://www.gov.si/zbirke/storitve/digitalni-bon
"Ženska imena, Slovenija, letno",surs05x1010s,https://podatki.gov.si/data/dataset/surs05x1010s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05X1010S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7803|https://www.stat.si/doc/px/pxwin.rar
"Moška imena, Slovenija, letno",surs05x1005s,https://podatki.gov.si/data/dataset/surs05x1005s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05X1005S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7803|https://www.stat.si/doc/px/pxwin.rar
