title,name,dataset_url,pdf,csv,xml,html
"Prag tveganja revščine, Slovenija, letno",surs0867106s,https://podatki.gov.si/data/dataset/surs0867106s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0867106S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8291|https://www.stat.si/doc/px/pxwin.rar
"Brezposelni po ravneh dosežene izobrazbe in spolu, kohezijski regiji, Slovenija, letno",surs0762112s,https://podatki.gov.si/data/dataset/surs0762112s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0762112S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7788|https://www.stat.si/doc/px/pxwin.rar
"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S (SKD 2008), Slovenija, četrtletno",surs0714611s,https://podatki.gov.si/data/dataset/surs0714611s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0714611S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8157|https://www.stat.si/doc/px/pxwin.rar
Evidenca društev v javnem interesu na področju socialnega varstva,evidenca-drustev-v-javnem-interesu-na-podrocju-socialnega-varstva,https://podatki.gov.si/data/dataset/evidenca-drustev-v-javnem-interesu-na-podrocju-socialnega-varstva,,,,
"Brezposelne osebe po trajanju iskanja dela in spolu, kohezijski regiji, Slovenija, četrtletno",surs0762011s,https://podatki.gov.si/data/dataset/surs0762011s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0762011S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7788|https://www.stat.si/doc/px/pxwin.rar
"Osebje v RRD po sektorju zaposlitve, poklicu in spolu, kohezijski regiji, Slovenija, letno",surs2364155s,https://podatki.gov.si/data/dataset/surs2364155s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2364155S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9533|https://www.stat.si/doc/px/pxwin.rar
"Število oskrbovancev v domovih za starejše po kategorijah oskrbe, Slovenija, 2006 - 2013",surs1262304s,https://podatki.gov.si/data/dataset/surs1262304s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/1262304S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8241|https://www.stat.si/doc/px/pxwin.rar
"Delovne migracije - izbrani kazalniki, občine, Slovenija, letno",surs0772750s,https://podatki.gov.si/data/dataset/surs0772750s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0772750S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9538|https://www.stat.si/doc/px/pxwin.rar
"Osebje v RRD v državnem in visokošolskem sektorju po sektorju zaposlitve, spolu in področju raziskav in razvoja, Slovenija, letno",surs2364160s,https://podatki.gov.si/data/dataset/surs2364160s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2364160S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9533|https://www.stat.si/doc/px/pxwin.rar
"Zaposlene osebe po višini neto plače po dejavnostih (SKD 2008), statusu zaposlitve in spolu, Slovenija, 2009 - 2020",surs0711515s,https://podatki.gov.si/data/dataset/surs0711515s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0711515S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8153|https://www.stat.si/doc/px/pxwin.rar
"Zaposlene osebe po višini bruto plače, dejavnostih (SKD 2008) in spolu, Slovenija, 2000 - 2022",surs0711510s,https://podatki.gov.si/data/dataset/surs0711510s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0711510S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8153|https://www.stat.si/doc/px/pxwin.rar
"Osebje v RRD v poslovnem sektorju po poklicu in dejavnosti (SKD 2008), Slovenija, letno",surs2364135s,https://podatki.gov.si/data/dataset/surs2364135s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2364135S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9533|https://www.stat.si/doc/px/pxwin.rar
