title,name,dataset_url,pdf,csv,xml,html
Statistični podatki aplikacije #OstaniZdrav,statisticni-podatki-aplikacije-ostanizdrav,https://podatki.gov.si/data/dataset/statisticni-podatki-aplikacije-ostanizdrav,,https://podatki.gov.si/dataset/d3e718b3-01f0-40bd-93b0-b56d3bb4e97f/resource/f8711982-df42-48e6-9c07-92fcb89cb15c/download/android2.csv|https://podatki.gov.si/dataset/d3e718b3-01f0-40bd-93b0-b56d3bb4e97f/resource/1786b9c7-def2-40f0-bccf-7866b5878ef5/download/iosprenosi.csv|https://podatki.gov.si/dataset/d3e718b3-01f0-40bd-93b0-b56d3bb4e97f/resource/406b4306-cf45-4d49-b44e-48c8b4c1de78/download/tanstatistika.csv|https://podatki.gov.si/dataset/d3e718b3-01f0-40bd-93b0-b56d3bb4e97f/resource/1167a46b-22ac-455f-b134-fedaf258ea0d/download/tanvneseno.csv,,https://www.gov.si/teme/koronavirus-sars-cov-2/mobilna-aplikacija-ostanizdrav/
Lokacije defibrilatorjev (AED),lokacije-defibrilatorjev-aed,https://podatki.gov.si/data/dataset/lokacije-defibrilatorjev-aed,,https://podatki.gov.si/dataset/5abdc896-d7b3-43a1-b580-ab2e6cff981c/resource/945e24c6-4808-4ee7-a86c-ff56a703fc6a/download/lokacijeaedvobinibreice.csv,,https://www.google.com/maps/d/viewer?mid=14oFqj7aqimyHnWQyb0GmcZ8SCT8kRlPT&ll=45.933386652333716%2C15.62185452339746&z=11
Spremljanje covid-19 v bolnišnicah - EPISARI,spremljanje-covid-19-v-bolnisnicah-episari,https://podatki.gov.si/data/dataset/spremljanje-covid-19-v-bolnisnicah-episari,https://podatki.gov.si/dataset/7d73b91a-b551-4783-bb2c-8e4c8953a974/resource/cd5ee72f-063f-49f0-959c-18d2d7fe23db/download/metodolokanavodilaverzija5final.pdf,https://podatki.gov.si/dataset/7d73b91a-b551-4783-bb2c-8e4c8953a974/resource/7716561d-3c4e-4522-be4c-493cce35510a/download/episaricsv.csv,,
Potrjeni primeri covid-19 po cepljenju v Sloveniji (NIJZ CNB),potrjeni-primeri-covid-19-po-cepljenju,https://podatki.gov.si/data/dataset/potrjeni-primeri-covid-19-po-cepljenju,,https://podatki.gov.si/dataset/47edd697-a06b-44a6-86b7-0092ea34274a/resource/eb4bd862-737d-47f0-8e0a-47541986c2c3/download/pc14dnipozpublic.csv,,https://www.nijz.si/sl/dnevno-spremljanje-okuzb-s-sars-cov-2-covid-19
"Seznam lekarn in specializiranih prodajaln, ki imajo dovoljenje za izdajo zdravil prek medmrežja",seznam-lekarn-in-specializiranih-prodajaln-ki-imajo-dovoljenje-za-izdajo-zdravil-prek-medmrezja,https://podatki.gov.si/data/dataset/seznam-lekarn-in-specializiranih-prodajaln-ki-imajo-dovoljenje-za-izdajo-zdravil-prek-medmrezja,,https://podatki.gov.si/dataset/bf1f3241-50c9-4353-a6ee-f4ef1154da6c/resource/4c4d136d-bc66-4f89-a7f2-dfeecb1d8e25/download/lekarne.csv,,http://www.mz.gov.si/|https://www.gov.si/teme/mreza-javne-zdravstvene-sluzbe/#e34438
Hospitalizirani primeri SARI potrjeni covid-19 po cepilnem statusu v Sloveniji (NIJZ CNB),hospitalizirani-primeri-sari-potrjeni-covid-19-po-cepilnem-statusu-v-sloveniji-nijz-cnb,https://podatki.gov.si/data/dataset/hospitalizirani-primeri-sari-potrjeni-covid-19-po-cepilnem-statusu-v-sloveniji-nijz-cnb,,https://podatki.gov.si/dataset/2a40d74b-4e75-4051-8ab7-289c70348cb7/resource/816af1be-4e56-4fca-a647-db7b09a2c98b/download/saricov19hospitalizacija.csv,,https://www.nijz.si/sl/dnevno-spremljanje-okuzb-s-sars-cov-2-covid-19
Evidenca defibrilatorjev v Občini Žalec,evidenca-defibrilatorjev-v-obcini-zalec3,https://podatki.gov.si/data/dataset/evidenca-defibrilatorjev-v-obcini-zalec3,,https://podatki.gov.si/dataset/c6d97ff6-df33-42eb-949f-ce6861e95967/resource/e69079c7-be03-42bf-999d-2c02cd4a047d/download/evidencadefibrilatorjev2.csv,,
Lokacije defibrilatorjev v občini Sevnica,lokacije-defibrilatorjev-v-obcini-sevnica,https://podatki.gov.si/data/dataset/lokacije-defibrilatorjev-v-obcini-sevnica,,https://podatki.gov.si/dataset/8166f125-10e6-44b1-aaf1-d4f196d28ab6/resource/c6d4f4e8-9e6d-42c9-b263-6eda466c9e6a/download/defibrilatorjivobinisevnica.csv,,https://www.obcina-sevnica.si/sl/pametna-skupnost/interaktivni-zemljevid/|https://www.google.com/maps/d/edit?mid=1GESV8e1A-51tXXxWICyjM64a-F34SbzX&usp=sharing
Dnevno spremljanje potrjenih primerov covida-19 (NIJZ CNB),dnevno-spremljanje-okuzb-covid-19,https://podatki.gov.si/data/dataset/dnevno-spremljanje-okuzb-covid-19,,https://podatki.gov.si/dataset/56a1a649-5201-46d2-b503-03c6b36a6ee7/resource/b2fee4c1-f579-4f6d-8d54-7a1b8755e970/download/covid19potrjeniprimeri.csv|https://podatki.gov.si/dataset/56a1a649-5201-46d2-b503-03c6b36a6ee7/resource/9f297da4-1a93-4f62-8c14-cfff5c5d7377/download/vwlusyokuzeni.csv,,
Lokacije AED v Občini Trbovlje,lokacije-aed-v-obcini-trbovlje,https://podatki.gov.si/data/dataset/lokacije-aed-v-obcini-trbovlje,,https://podatki.gov.si/dataset/51ae16d0-4ee3-4b11-8d45-b03a2f1c074e/resource/ff5f95b1-c280-4145-9e4f-0d1bb84d0bdd/download/trbovljeopsiaed.csv,,
