title,name,dataset_url,pdf,csv,xml,html
Brezplačne WiFi točke v občini Sevnica,brezplacne-wifi-tocke-v-obcini-sevnica,https://podatki.gov.si/data/dataset/brezplacne-wifi-tocke-v-obcini-sevnica,,https://podatki.gov.si/dataset/921309af-6e84-4d70-8170-3bb58e3ef9ae/resource/1cdf08db-4d2b-4be1-bbab-20b323445ff8/download/brezplanewifitokevobinisevnica.csv,,https://www.obcina-sevnica.si/|https://www.google.com/maps/d/edit?mid=1G7ytm6lIBb8D0KvOR-6v8FLNfYHqrha_&usp=sharing
"Število posameznikov (16–74 let) po namenu uporabe interneta pri uporabnikih interneta, starostni skupini in spolu, Slovenija, letno",surs2974205s,https://podatki.gov.si/data/dataset/surs2974205s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2974205S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8277|https://www.stat.si/doc/px/pxwin.rar
Seznam javno dostopnih WiFi točk v Mestni občini Velenje,seznam-javno-dostopnih-wifi-tock-v-mestni-obcini-velenje,https://podatki.gov.si/data/dataset/seznam-javno-dostopnih-wifi-tock-v-mestni-obcini-velenje,,https://podatki.gov.si/dataset/ef0caeaf-3872-4f56-bc1d-d1031a50b880/resource/a15cb92c-7385-43ff-8f68-0bf0fecff0ed/download/velenjeopsijavnewifitocke.csv,,https://www.velenje.si/
"Dostop do interneta po statusu uporabnika in po vrsti dostopa, Slovenija, letno",surs2963318s,https://podatki.gov.si/data/dataset/surs2963318s,,,,"https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2963318S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8242, 5296|https://www.stat.si/doc/px/pxwin.rar"
"Vpliv uporabe računalnikov in programske opreme na delo in samoocena veščin pri zaposlenih in samozaposlenih, ki so uporabljali internet v zadnjih 12 mesecih, po stopnji urbanizacije območja, v katerem ti živijo, Slovenija, 2018",surs2980530s,https://podatki.gov.si/data/dataset/surs2980530s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2980530S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8277|https://www.stat.si/doc/px/pxwin.rar
"Število gospodinjstev po dostopu do interneta in tipu gospodinjstva, Slovenija, letno",surs2974001s,https://podatki.gov.si/data/dataset/surs2974001s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2974001S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8277|https://www.stat.si/doc/px/pxwin.rar
"Raziskovalci po področjih znanosti in spolu, Slovenija, 2007 - 2016",surs2364104s,https://podatki.gov.si/data/dataset/surs2364104s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2364104S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8175|https://www.stat.si/doc/px/pxwin.rar
"Število podjetij z 10 ali več zaposlenimi in samozaposlenimi po uporabi 3D-tiskanja v prejšnjem letu ter dejavnosti (SKD 2008), Slovenija, 2018, 2020",surs2980220s,https://podatki.gov.si/data/dataset/surs2980220s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2980220S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8271|https://www.stat.si/doc/px/pxwin.rar
Seznam javno dostopnih WiFi točk v Občini Trebnje,seznam-javno-dostopnih-wifi-tock-v-obcini-trebnje,https://podatki.gov.si/data/dataset/seznam-javno-dostopnih-wifi-tock-v-obcini-trebnje,,https://podatki.gov.si/dataset/72396cf5-0cf1-4c05-a56c-8dfe7d1b3279/resource/28d31b9a-679e-43df-9d55-62bdd1bc57aa/download/trebnjeopsijavnewifitocke.csv,,
"Število posameznikov (16–74 let) po namenih uporabe mobilnega telefona, izobrazbi in spolu, Slovenija, letno",surs2979510s,https://podatki.gov.si/data/dataset/surs2979510s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2979510S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8277|https://www.stat.si/doc/px/pxwin.rar
Seznam javno dostopnih WiFi točk v Občini Straža,seznam-javno-dostopnih-wifi-tock-v-obcini-straza,https://podatki.gov.si/data/dataset/seznam-javno-dostopnih-wifi-tock-v-obcini-straza,,https://podatki.gov.si/dataset/69202551-90a5-4dc1-a4b6-ca86e1a92bba/resource/5379b77c-f932-488c-a41c-f003b1751ad0/download/strazaopsijavnewifitocke.csv,,
"Število posameznikov (16–74 let) po razlogih, ki so jim preprečevali spletno nakupovanje v zadnjih 3 mesecih, in stopnji urbanizacije območja, v katerem ti posamezniki živijo, Slovenija, večletno",surs2974544s,https://podatki.gov.si/data/dataset/surs2974544s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2974544S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8277|https://www.stat.si/doc/px/pxwin.rar
